iter	Passed	Remaining
0	57	57834
1	58	29083
2	58	19493
3	59	14698
4	59	11811
5	59	9888
6	60	8513
7	60	7483
8	60	6681
9	61	6050
10	61	5525
11	61	5089
12	62	4721
13	62	4412
14	63	4139
15	63	3897
16	63	3684
17	64	3499
18	64	3330
19	64	3177
20	65	3038
21	65	2916
22	65	2800
23	66	2695
24	66	2597
25	66	2506
26	67	2432
27	67	2359
28	68	2290
29	68	2222
30	69	2158
31	69	2097
32	69	2044
33	70	1992
34	70	1942
35	70	1894
36	71	1849
37	71	1806
38	71	1766
39	72	1728
40	72	1692
41	72	1658
42	73	1626
43	73	1593
44	73	1563
45	73	1533
46	74	1507
47	74	1480
48	74	1454
49	75	1429
50	75	1405
51	75	1381
52	76	1360
53	76	1338
54	76	1318
55	76	1297
56	77	1278
57	77	1260
58	77	1242
59	78	1226
60	78	1210
61	78	1193
62	79	1178
63	79	1162
64	79	1148
65	80	1133
66	80	1119
67	80	1106
68	81	1093
69	81	1080
70	81	1067
71	81	1055
72	82	1043
73	82	1031
74	82	1020
75	83	1009
76	83	998
77	83	988
78	84	980
79	84	971
80	84	963
81	85	954
82	85	942
83	85	934
84	86	926
85	86	917
86	86	908
87	86	900
88	87	892
89	87	884
90	87	876
91	88	868
92	88	862
93	88	857
94	89	850
95	89	843
96	89	836
97	90	828
98	90	821
99	90	814
100	90	808
101	91	801
102	91	795
103	91	788
104	91	782
105	92	776
106	92	769
107	92	763
108	92	757
109	92	751
110	93	746
111	93	740
112	93	735
113	93	730
114	94	724
115	94	719
116	94	714
117	94	708
118	95	703
119	95	698
120	95	693
121	95	688
122	95	684
123	96	679
124	96	674
125	96	670
126	96	666
127	97	662
128	98	661
129	98	657
130	98	653
131	98	650
132	99	646
133	99	642
134	99	639
135	100	635
136	100	632
137	100	628
138	100	624
139	101	621
140	101	617
141	101	613
142	101	610
143	102	606
144	102	603
145	102	600
146	102	596
147	103	593
148	103	590
149	103	587
150	103	584
151	104	581
152	104	578
153	104	575
154	104	572
155	105	569
156	105	566
157	105	563
158	105	560
159	106	557
160	106	554
161	106	551
162	106	548
163	107	546
164	107	543
165	107	540
166	107	537
167	108	535
168	108	532
169	108	529
170	108	527
171	109	524
172	109	522
173	109	519
174	109	517
175	109	514
176	110	512
177	110	509
178	110	507
179	110	505
180	111	503
181	111	501
182	111	498
183	112	496
184	112	494
185	112	492
186	112	490
187	113	488
188	113	487
189	113	485
190	114	483
191	114	481
192	114	479
193	114	477
194	115	475
195	115	473
196	115	471
197	115	469
198	116	467
199	116	465
200	116	464
201	116	462
202	117	460
203	117	458
204	117	456
205	118	454
206	118	453
207	118	451
208	118	449
209	119	448
210	119	446
211	119	445
212	120	443
213	120	441
214	120	440
215	120	438
216	121	436
217	121	435
218	121	433
219	121	432
220	122	430
221	122	429
222	122	427
223	123	426
224	123	425
225	123	423
226	123	421
227	124	420
228	124	419
229	124	417
230	125	416
231	125	415
232	125	413
233	126	412
234	126	411
235	126	410
236	126	408
237	127	407
238	127	405
239	127	404
240	128	403
241	128	402
242	128	401
243	129	399
244	129	398
245	129	397
246	130	396
247	130	395
248	130	394
249	131	393
250	131	392
251	131	390
252	131	389
253	132	388
254	132	387
255	132	385
256	133	384
257	133	383
258	133	382
259	133	381
260	134	380
261	134	379
262	134	378
263	135	376
264	135	375
265	135	374
266	136	373
267	136	372
268	136	371
269	136	369
270	137	368
271	137	367
272	137	366
273	137	365
274	138	364
275	138	363
276	138	362
277	139	361
278	139	360
279	139	359
280	140	358
281	140	357
282	140	356
283	140	355
284	141	354
285	141	353
286	141	352
287	142	351
288	142	350
289	142	349
290	142	348
291	143	347
292	143	346
293	143	345
294	144	344
295	144	343
296	144	343
297	145	342
298	145	341
299	146	340
300	146	340
301	146	339
302	146	338
303	147	337
304	147	335
305	147	334
306	147	334
307	148	333
308	148	332
309	148	331
310	149	330
311	149	329
312	149	328
313	149	327
314	150	326
315	150	325
316	150	324
317	150	323
318	151	322
319	151	321
320	151	321
321	152	320
322	152	319
323	153	319
324	153	319
325	153	318
326	154	317
327	154	316
328	154	315
329	154	314
330	155	313
331	155	312
332	155	312
333	156	311
334	156	310
335	156	309
336	156	308
337	157	307
338	157	306
339	157	306
340	157	305
341	158	304
342	158	303
343	158	303
344	159	302
345	159	301
346	159	300
347	160	300
348	160	299
349	160	298
350	160	297
351	161	297
352	161	296
353	162	295
354	162	295
355	162	294
356	163	293
357	163	293
358	163	292
359	164	291
360	164	290
361	164	290
362	164	289
363	165	288
364	165	287
365	165	287
366	166	286
367	166	285
368	166	284
369	166	284
370	167	283
371	167	282
372	167	281
373	167	281
374	168	280
375	168	279
376	168	278
377	169	278
378	169	277
379	169	276
380	169	276
381	170	275
382	170	274
383	170	273
384	171	273
385	171	272
386	171	271
387	171	271
388	172	270
389	172	269
390	172	268
391	172	268
392	173	267
393	173	266
394	173	265
395	173	265
396	174	264
397	174	263
398	174	263
399	175	262
400	175	261
401	175	261
402	175	260
403	176	259
404	176	258
405	176	258
406	176	257
407	177	257
408	177	256
409	177	255
410	177	255
411	178	254
412	178	253
413	178	253
414	179	252
415	179	251
416	179	251
417	180	250
418	180	250
419	180	249
420	180	248
421	181	248
422	181	247
423	181	246
424	182	246
425	182	245
426	182	245
427	182	244
428	183	243
429	183	243
430	183	242
431	183	241
432	184	241
433	184	240
434	184	239
435	184	239
436	185	238
437	185	238
438	185	237
439	186	236
440	186	236
441	186	235
442	186	234
443	187	234
444	187	233
445	187	233
446	187	232
447	188	231
448	188	231
449	188	230
450	188	230
451	189	229
452	189	228
453	189	228
454	190	227
455	190	227
456	190	226
457	191	226
458	191	225
459	191	224
460	191	224
461	192	223
462	192	223
463	192	222
464	193	222
465	193	221
466	193	220
467	193	220
468	194	219
469	194	219
470	194	218
471	194	218
472	195	217
473	195	217
474	195	216
475	196	215
476	196	215
477	196	214
478	196	214
479	197	213
480	197	213
481	197	212
482	197	211
483	198	211
484	198	210
485	198	210
486	199	209
487	199	209
488	199	208
489	199	207
490	200	207
491	200	206
492	200	206
493	200	205
494	201	205
495	201	204
496	201	204
497	201	203
498	202	203
499	202	202
500	202	201
501	203	201
502	203	200
503	203	200
504	203	199
505	204	199
506	204	198
507	204	198
508	204	197
509	205	197
510	205	196
511	205	196
512	205	195
513	206	194
514	206	194
515	206	194
516	207	193
517	207	193
518	207	192
519	207	191
520	208	191
521	208	190
522	208	190
523	209	189
524	209	189
525	209	188
526	209	188
527	210	187
528	210	187
529	210	186
530	210	186
531	211	185
532	211	185
533	211	184
534	211	184
535	212	183
536	212	183
537	212	182
538	213	182
539	213	181
540	213	181
541	213	180
542	214	180
543	214	179
544	214	179
545	214	178
546	215	178
547	215	177
548	215	177
549	215	176
550	216	176
551	216	175
552	216	175
553	217	174
554	217	174
555	217	173
556	217	173
557	218	172
558	218	172
559	218	171
560	218	171
561	219	170
562	219	170
563	219	169
564	219	169
565	220	168
566	220	168
567	220	167
568	220	167
569	221	166
570	221	166
571	221	166
572	222	165
573	222	165
574	222	164
575	223	164
576	223	163
577	223	163
578	223	162
579	224	162
580	224	161
581	224	161
582	225	160
583	225	160
584	225	160
585	225	159
586	226	159
587	226	158
588	226	158
589	226	157
590	227	157
591	227	156
592	227	156
593	228	155
594	228	155
595	228	154
596	228	154
597	229	154
598	229	153
599	229	153
600	230	152
601	230	152
602	230	151
603	230	151
604	230	150
605	231	150
606	231	149
607	231	149
608	232	149
609	232	148
610	232	148
611	232	147
612	233	147
613	233	146
614	233	146
615	233	145
616	234	145
617	234	144
618	234	144
619	235	144
620	235	143
621	235	143
622	235	142
623	236	142
624	236	141
625	236	141
626	236	140
627	237	140
628	237	140
629	237	139
630	238	139
631	238	138
632	238	138
633	238	137
634	239	137
635	239	137
636	239	136
637	240	136
638	240	135
639	240	135
640	240	134
641	241	134
642	241	134
643	241	133
644	241	133
645	242	132
646	242	132
647	242	131
648	243	131
649	243	131
650	243	130
651	243	130
652	244	129
653	244	129
654	244	128
655	244	128
656	245	127
657	245	127
658	245	127
659	245	126
660	246	126
661	246	125
662	246	125
663	247	125
664	247	124
665	247	124
666	247	123
667	248	123
668	248	122
669	248	122
670	248	122
671	249	121
672	249	121
673	249	120
674	250	120
675	250	120
676	250	119
677	250	119
678	251	118
679	251	118
680	251	117
681	252	117
682	252	117
683	252	116
684	252	116
685	253	115
686	253	115
687	253	115
688	254	114
689	254	114
690	254	113
691	255	113
692	255	113
693	255	112
694	255	112
695	256	111
696	256	111
697	256	111
698	257	110
699	257	110
700	257	109
701	257	109
702	258	109
703	258	108
704	258	108
705	259	107
706	259	107
707	259	107
708	259	106
709	260	106
710	260	105
711	260	105
712	260	104
713	261	104
714	261	104
715	261	103
716	261	103
717	262	102
718	262	102
719	262	102
720	262	101
721	263	101
722	263	100
723	263	100
724	263	100
725	264	99
726	264	99
727	264	98
728	265	98
729	265	98
730	265	97
731	266	97
732	266	97
733	266	96
734	266	96
735	267	95
736	267	95
737	267	95
738	267	94
739	268	94
740	268	93
741	268	93
742	268	93
743	269	92
744	269	92
745	269	91
746	270	91
747	270	91
748	270	90
749	270	90
750	271	89
751	271	89
752	271	89
753	271	88
754	272	88
755	272	87
756	272	87
757	273	87
758	273	86
759	273	86
760	273	85
761	274	85
762	274	85
763	274	84
764	274	84
765	275	84
766	275	83
767	275	83
768	275	82
769	276	82
770	276	82
771	276	81
772	276	81
773	277	80
774	277	80
775	277	80
776	277	79
777	278	79
778	278	78
779	278	78
780	279	78
781	279	77
782	279	77
783	279	77
784	280	76
785	280	76
786	280	75
787	281	75
788	281	75
789	281	74
790	281	74
791	282	74
792	282	73
793	282	73
794	282	72
795	283	72
796	283	72
797	283	71
798	284	71
799	284	71
800	284	70
801	284	70
802	285	69
803	285	69
804	285	69
805	285	68
806	286	68
807	286	68
808	286	67
809	287	67
810	287	66
811	287	66
812	288	66
813	288	65
814	288	65
815	288	65
816	289	64
817	289	64
818	289	64
819	290	63
820	290	63
821	290	62
822	290	62
823	291	62
824	291	61
825	291	61
826	291	61
827	292	60
828	292	60
829	292	59
830	293	59
831	293	59
832	293	58
833	293	58
834	294	58
835	294	57
836	294	57
837	294	57
838	295	56
839	295	56
840	295	55
841	295	55
842	296	55
843	296	54
844	296	54
845	297	54
846	297	53
847	297	53
848	298	53
849	298	52
850	298	52
851	298	51
852	299	51
853	299	51
854	299	50
855	300	50
856	300	50
857	300	49
858	300	49
859	301	49
860	301	48
861	301	48
862	302	47
863	302	47
864	302	47
865	302	46
866	303	46
867	303	46
868	303	45
869	303	45
870	304	45
871	304	44
872	304	44
873	305	43
874	305	43
875	305	43
876	305	42
877	306	42
878	306	42
879	306	41
880	306	41
881	307	41
882	307	40
883	308	40
884	308	40
885	308	39
886	309	39
887	309	39
888	309	38
889	309	38
890	310	37
891	310	37
892	310	37
893	310	36
894	311	36
895	311	36
896	311	35
897	311	35
898	312	35
899	312	34
900	312	34
901	313	34
902	313	33
903	313	33
904	313	32
905	314	32
906	314	32
907	314	31
908	314	31
909	315	31
910	315	30
911	315	30
912	316	30
913	316	29
914	316	29
915	316	29
916	317	28
917	317	28
918	317	28
919	318	27
920	318	27
921	318	26
922	318	26
923	319	26
924	319	25
925	319	25
926	319	25
927	320	24
928	320	24
929	320	24
930	321	23
931	321	23
932	321	23
933	321	22
934	322	22
935	322	22
936	322	21
937	322	21
938	323	20
939	323	20
940	323	20
941	324	19
942	324	19
943	324	19
944	324	18
945	325	18
946	325	18
947	325	17
948	325	17
949	326	17
950	326	16
951	326	16
952	327	16
953	327	15
954	327	15
955	327	15
956	328	14
957	328	14
958	328	14
959	328	13
960	329	13
961	329	13
962	329	12
963	330	12
964	330	11
965	330	11
966	330	11
967	331	10
968	331	10
969	331	10
970	331	9
971	332	9
972	332	9
973	332	8
974	333	8
975	333	8
976	333	7
977	333	7
978	334	7
979	334	6
980	334	6
981	335	6
982	335	5
983	335	5
984	335	5
985	336	4
986	336	4
987	336	4
988	337	3
989	337	3
990	337	3
991	337	2
992	338	2
993	338	2
994	338	1
995	338	1
996	339	1
997	339	0
998	339	0
999	340	0
